
    lc_num   u0_true   tE_true    s_true    q_true  rhos_true
20       4 -1.523430   6.68770  2.481240  0.010920   0.001207
12      12  0.047283  16.19210  1.032940  0.000025   0.001355
9       25  0.092601  18.67180  1.088030  0.000066   0.000536
21      32  0.334177  12.45770  0.735662  0.000031   0.006974
5       40  0.954141  24.22020  0.393097  0.000758   0.001310
7       47  0.030080   7.08769  1.027670  0.000008   0.003219
19      50  1.203140  28.11330  0.540982  0.000241   0.000933
4       53  1.176820   4.77154  2.191240  0.000856   0.001230
18      66 -0.000088  46.59050  2.976960  0.007993   0.000432
25      74  0.154826   8.54784  0.842613  0.005803   0.000418
6       78  0.029584  26.50910  3.094450  0.021942   0.000961
23      81  0.587494  29.06610  1.045090  0.007219   0.001389
17      92  0.110526  18.70470  0.990790  0.000064   0.000598
16      95 -0.062748  25.52070  0.947196  0.000073   0.001595
2       99 -0.030401   7.92005  0.489223  0.000968   0.003295
30     100  0.059644  16.23470  0.961332  0.000074   0.001836
14     103 -0.022908   9.19748  1.221000  0.000275   0.004703
31     107 -1.018530   7.22379  2.504730  0.000030   0.000690
0      128  0.141832  18.23740  0.993145  0.001212   0.006065
29     131  0.890741  38.45090  1.567240  0.000002   0.008135
26     139 -0.031069  15.13180  1.409320  0.000057   0.002644
28     152  1.264540   5.19301  2.933750  0.000002   0.003562
1      186 -0.138031   9.97136  0.744170  0.000133   0.000728
13     194  0.801584  11.12830  1.620080  0.000079   0.001099
27     199 -0.036428  36.41950  1.250360  0.000648   0.001413
22     214  0.607406  11.22190  1.837050  0.000046   0.001497
10     217  0.452129  30.98220  1.277300  0.000151   0.002504
11     218 -0.066595   9.81228  1.002800  0.000040   0.000607
24     223 -0.012831   9.55012  2.011210  0.000791   0.001857
8      226  1.108390  17.80990  4.216960  0.000715   0.000533
15     253  0.033879   6.34931  1.488850  0.000914   0.001468
3      267  0.071488  10.75110  1.031030  0.000367   0.001308
